2025-10-13T02:56:59.730Z||2Ado2AVcmr50U6Ob||CONF||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1,"hostId":"node-123.test.test"},"Github":{"repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*Service*.java*.service.*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"],"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","logVersion":"1.0.2","logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"logLight":false}}]
2025-10-13 02:57:09.228|http-nio-80-exec-6#45|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|25|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#query#28#R|[[{"medicConditionDO":{"id":321,"deceases":"idk,***ever","timeCreated":"5490-12-21 05:31:51.0051","userId":123},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}},{"medicConditionDO":{"id":654,"deceases":"idk,***ever","timeCreated":"9011-12-11 11:03:42.0042","userId":456},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}},{"medicConditionDO":{"id":987,"deceases":"idk,***ever","timeCreated":"12532-11-29 16:35:33.0033","userId":789},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}}]]
2025-10-13 02:57:09.210|http-nio-80-exec-7#46|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|5-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57147"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_session_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:57:09.211|http-nio-80-exec-7#46|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|5-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getBySessionId#43#|[{"sessionId":"xxx"}]
2025-10-13 02:57:09.211|http-nio-80-exec-7#46|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|5-3|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getBySessionId#43#R|[{"name":"ra***ly","id":456,"driverLisenceId":"****************************","age":null}]
2025-10-13 02:57:09.216|http-nio-80-exec-8#47|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|19-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57147"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:57:09.218|http-nio-80-exec-8#47|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|19-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":123}]
2025-10-13 02:57:09.218|http-nio-80-exec-8#47|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|19-3|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#29|["This should be remote service, will be with trace",123]
2025-10-13 02:57:09.218|http-nio-80-exec-8#47|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|19-4|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-13 02:57:09.221|http-nio-80-exec-9#48|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|21-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57147"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:57:09.223|http-nio-80-exec-9#48|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|21-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":456}]
2025-10-13 02:57:09.223|http-nio-80-exec-9#48|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|21-3|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#29|["This should be remote service, will be with trace",456]
2025-10-13 02:57:09.223|http-nio-80-exec-9#48|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|21-4|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-13 02:57:09.226|http-nio-80-exec-10#49|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|23-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57147"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:57:09.226|http-nio-80-exec-10#49|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|23-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":789}]
2025-10-13 02:57:09.226|http-nio-80-exec-10#49|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|23-3|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#29|["This should be remote service, will be with trace",789]
2025-10-13 02:57:09.227|http-nio-80-exec-10#49|7bJXU8Iu9I4wXRGUL3js4fRVcirLQqZ2|23-4|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-13 02:57:10.665|scheduling-1#52|2Tax7WvO9CUYrGOz1TKQ157xWD0FCOsH|1|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#runMailRunnable#23#|[]
2025-10-13 02:57:10.665|scheduling-1#52|JWFPHm8ixerk7TqA1enZPJ0UsakNRK7N|2-1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"tes***ail","verificationUrl":"http://localhost/unHookedThreadDelivery/1760324228417"}]
2025-10-13 02:57:10.665|scheduling-1#52|JWFPHm8ixerk7TqA1enZPJ0UsakNRK7N|2-2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/unHookedThreadDelivery/1760324228417'>link</a> or copy http://localhost/unHookedThreadDelivery/1760324228417 to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:10.665|scheduling-1#52|JWFPHm8ixerk7TqA1enZPJ0UsakNRK7N|2-3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/unHookedThreadDelivery/1760324228417'>link</a> or copy http://localhost/unHookedThreadDelivery/1760324228417 to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:10.665|scheduling-1#52|JWFPHm8ixerk7TqA1enZPJ0UsakNRK7N|2-4|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#runMailRunnable#23#R|[null]
