2025-10-13T02:56:30.373Z||OFmotO7LAxwFAryL||C||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1,"hostId":"node-123.test.test"},"Github":{"repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","logLight":true,"logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"logVersion":"1.0.2","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*Service*.java*.service.*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-10-13 02:56:35.479||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|8-4|J|#.UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:36.474||1kHRJK6DnTZwZo3DasNZAO1SNBfc4vvy|1|J|#.SMTPEmailScheduler#runMailRunnable#23#|[]
2025-10-13 02:56:36.475||1kHRJK6DnTZwZo3DasNZAO1SNBfc4vvy|2|J|#.SMTPEmailScheduler#runMailRunnable#23#R|[null]
2025-10-13 02:56:36.511||HXxykEJmZdUGyvWgAve7QuUXpS7jxcC3|1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:57000"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/test_async_email"},{"headers":{}},{"body":{}}]
2025-10-13 02:56:36.513||HXxykEJmZdUGyvWgAve7QuUXpS7jxcC3|2|J|#.SMTPEmailScheduler#unHookedThreadDelivery#39#|[{"recipient":"test@email.email","verificationUrl":"http://localhost/unHookedThreadDelivery/1760324196512"}]
2025-10-13 02:56:36.518||HXxykEJmZdUGyvWgAve7QuUXpS7jxcC3|3|J|#.SMTPEmailScheduler#unHookedThreadDelivery#39#R|[null]
2025-10-13 02:56:37.444||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:57000"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/query"},{"headers":{}},{"body":{"session_id":["xxx"],"offset":["0"],"size":["123"]}}]
2025-10-13 02:56:37.450||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|2|J|#.ForStaticMethod#runStatic#15#|[{"userId":1760324197450}]
2025-10-13 02:56:37.453||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|3|J|#.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-13 02:56:37.453||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|4|J|#.MedicService#query#28#|[{"sessionId":"xxx","page":{"size":123,"offset":0}}]
2025-10-13 02:56:37.454||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|5|J|#.MedicService#query#29|[{"sessionId":"xxx"}]
2025-10-13 02:56:37.459||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|6|J|#.MedicService#query#29R|[{"name":"randome guy probably","id":456,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:37.459||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|7|J|#.MedicDAO#query#17#|[{"userId":456,"page":{"size":123,"offset":0}}]
2025-10-13 02:56:37.460||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|8|J|#.MedicDAO#query#17#R|[[{"id":321,"deceases":"idk, maybe conding fever","timeCreated":111111111111111,"userId":123},{"id":654,"deceases":"idk, maybe conding fever","timeCreated":222222222222222,"userId":456},{"id":987,"deceases":"idk, maybe conding fever","timeCreated":333333333333333,"userId":789}]]
2025-10-13 02:56:37.460||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|9|J|#.MedicService#callSelfInvocation#68#|[{"testString":"xxx"}]
2025-10-13 02:56:37.460||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|10|J|#.MedicService#callSelfInvocation_protected#73#|[{"testString":"xxx"}]
2025-10-13 02:56:37.460||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|11|J|#.MedicService#callSelfInvocation_friendly#78#|[{"testString":"xxx"}]
2025-10-13 02:56:37.460||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|12|J|#.MedicService#callSelfInvocation_private#83#|[{"testString":"xxx"}]
2025-10-13 02:56:37.460||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|13|J|#.MedicService#callSelfInvocation_final#88#|[{"testString":"xxx"}]
2025-10-13 02:56:37.460||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|14|J|#.MedicService#callSelfInvocation_final#88#R|["1760324197460"]
2025-10-13 02:56:37.460||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|15|J|#.MedicService#callSelfInvocation_private#83#R|["1760324197460"]
2025-10-13 02:56:37.461||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|16|J|#.MedicService#callSelfInvocation_friendly#78#R|["1760324197461"]
2025-10-13 02:56:37.461||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|17|J|#.MedicService#callSelfInvocation_protected#73#R|["1760324197461"]
2025-10-13 02:56:37.461||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|18|J|#.MedicService#callSelfInvocation#68#R|["1760324197461"]
2025-10-13 02:56:37.461||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|19|J|#.MedicService#lambda$0#38|[{"userId":123}]
2025-10-13 02:56:37.468||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|20|J|#.MedicService#lambda$0#38R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:37.468||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|21|J|#.MedicService#lambda$0#38|[{"userId":456}]
2025-10-13 02:56:37.474||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|22|J|#.MedicService#lambda$0#38R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:37.474||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|23|J|#.MedicService#lambda$0#38|[{"userId":789}]
2025-10-13 02:56:37.478||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|24|J|#.MedicService#lambda$0#38R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:37.478||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|25|J|#.MedicService#query#28#R|[[{"medicConditionDO":{"id":321,"deceases":"idk, maybe conding fever","timeCreated":111111111111111,"userId":123},"user":{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}},{"medicConditionDO":{"id":654,"deceases":"idk, maybe conding fever","timeCreated":222222222222222,"userId":456},"user":{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}},{"medicConditionDO":{"id":987,"deceases":"idk, maybe conding fever","timeCreated":333333333333333,"userId":789},"user":{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}}]]
2025-10-13 02:56:37.456||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|5-1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57006"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_session_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:56:37.458||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|5-2|J|#.UserServiceImpl#getBySessionId#43#|[{"sessionId":"xxx"}]
2025-10-13 02:56:37.458||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|5-3|J|#.UserServiceImpl#getBySessionId#43#R|[{"name":"randome guy probably","id":456,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:37.465||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|19-1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57006"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:56:37.466||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|19-2|J|#.UserServiceImpl#getById#24#|[{"userId":123}]
2025-10-13 02:56:37.466||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|19-3|J|#.UserServiceImpl#getById#29|["This should be remote service, will be with trace",123]
2025-10-13 02:56:37.467||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|19-4|J|#.UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:37.470||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|21-1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57006"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:56:37.472||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|21-2|J|#.UserServiceImpl#getById#24#|[{"userId":456}]
2025-10-13 02:56:37.472||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|21-3|J|#.UserServiceImpl#getById#29|["This should be remote service, will be with trace",456]
2025-10-13 02:56:37.473||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|21-4|J|#.UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:37.475||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|23-1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57006"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:56:37.476||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|23-2|J|#.UserServiceImpl#getById#24#|[{"userId":789}]
2025-10-13 02:56:37.476||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|23-3|J|#.UserServiceImpl#getById#29|["This should be remote service, will be with trace",789]
2025-10-13 02:56:37.477||2GobBeY8GKrGgqqL2XrruVc5IwtZfhRk|23-4|J|#.UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
