2025-11-08T00:58:32.480Z||GDogjAPt5doOW0Oq||C|||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"hostId":"node-123.test.test","applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1},"Github":{"host":"https://github.com/","repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"],"logLight":true,"logPretty":false,"printStdout":true,"printFile":true,"logAsync":true,"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0"}}]
2025-11-08 00:58:33.559|52|4DiiGwCb7DDAQj1ZILLnDZYE6PmZxCKB|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:33.559|52|YpZXzlpJcUGW0LEaF9Uwexu32TeK0hgO|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:33.559|52|3vIUfXTbsn8znOzjVF8JxWtqXhNTvdxD|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:33.559|52|3vIUfXTbsn8znOzjVF8JxWtqXhNTvdxD|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:33.559|52|3vIUfXTbsn8znOzjVF8JxWtqXhNTvdxD|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:33.559|52|3J256H1RqebjwRmRmsI50IQCU2ptAi2p|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:33.560|52|2dUBqgd2iQim2f1dGTow1l9zhKhByzRf|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:33.560|52|2dUBqgd2iQim2f1dGTow1l9zhKhByzRf|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:33.560|52|2dUBqgd2iQim2f1dGTow1l9zhKhByzRf|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08T00:58:33.563Z||UmueCip9fu5NSli0||C|||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"hostId":"node-123.test.test","applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1},"Github":{"host":"https://github.com/","repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/#SMTPEmailService#sendVerificationUrl#16#/*/MASK$3(recipient)"],"logLight":true,"logPretty":false,"printStdout":true,"printFile":true,"logAsync":true,"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0"}}]
2025-11-08 00:58:35.878|40|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"0:0:0:0:0:0:0:1:64551"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"headers":{}},{"body":{"name":["br***ng"],"driverLisenceId":["******"],"age":["1001"]}}]
2025-11-08 00:58:36.012|40|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|2|J||#ForStaticMethod#runStatic#15#|[{"userId":0}]
2025-11-08 00:58:36.012|40|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|3|J||#ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-08 00:58:36.019|40|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|4|J||#UserService#save#0#|[{"user":{"name":"broking","id":0,"age":1001,"birthday":null,"driverLisenceId":"123456"}}]
2025-11-08 00:58:36.555|42|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|4-1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64558"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/save"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:36.555|43|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|8-1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64557"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:36.247|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"0:0:0:0:0:0:0:1:64552"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/save"},{"headers":{}},{"body":{"id":["123"],"deceases":["unkown"]}}]
2025-11-08 00:58:36.250|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|2|J||#MedicConditionController#save#64|["save request paylod, should be with trace",{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}]
2025-11-08 00:58:36.251|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|3|J||#ForStaticMethod#query#11#|[{"userId":1762563516251,"page":null}]
2025-11-08 00:58:36.251|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|4|J||#ForStaticMethod#query#11#R|["3cfbdd1f-6cf8-4093-bf4e-d401e1aa2aeb"]
2025-11-08 00:58:36.260|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|5|J||#MedicService#save#48#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-11-08 00:58:36.261|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|6|J||#MedicDAO#save#36#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-11-08 00:58:36.262|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|7|J||#MedicDAO#save#36#R|[{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}]
2025-11-08 00:58:36.262|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|8|J||#MedicService#save#54|[{"userId":0}]
2025-11-08 00:58:36.718|43|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|8-2|J||#UserServiceImpl#getById#24#|[{"userId":0}]
2025-11-08 00:58:36.718|43|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|8-3|T||#UserServiceImpl#getById#29|This should be remote service, will be with trace for user 0
2025-11-08 00:58:36.718|43|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|8-4|J||#UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025","driverLisenceId":"a number that you can't know"}]
2025-11-08 00:58:36.858|40|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|5|J||#UserService#save#0#R|[{"name":"broking","id":789,"age":1001,"birthday":"Sun Aug 10 09:42:17 EDT 2025","driverLisenceId":"123456"}]
2025-11-08 00:58:36.859|40|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|6|J||#ForStaticMethod#runStatic#15#|[{"userId":789}]
2025-11-08 00:58:36.859|40|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|7|J||#ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-08 00:58:36.852|42|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|4-2|J||#UserServiceImpl#save#60#|[{"user":{"name":"broking","id":0,"age":1001,"birthday":null,"driverLisenceId":"123456"}}]
2025-11-08 00:58:36.853|42|6g61rVD8hqjjL7Lo7z0DSsPEVDoF4lHH|4-3|J||#UserServiceImpl#save#60#R|[{"name":"broking","id":789,"age":1001,"birthday":"Sun Aug 10 09:42:17 EDT 2025","driverLisenceId":"123456"}]
2025-11-08 00:58:36.858|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|9|J||#MedicService#save#54R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-08 00:58:36.859|41|3U5n6RF7R0BBTokoXPB9bwXxY5Em53MM|10|J||#MedicService#save#48#R|[{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-11-08 00:58:36.938|44|5ycPJkB13GuLJr7aC3EbPCDHRddOxJQ1|1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"0:0:0:0:0:0:0:1:64551"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/test_async_email"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:36.939|44|5ycPJkB13GuLJr7aC3EbPCDHRddOxJQ1|2|J||#SMTPEmailScheduler#unHookedThreadDelivery#41#|[{"recipient":"test@email.email","verificationUrl":"http://localhost/unHookedThreadDelivery/1762563516939"}]
2025-11-08 00:58:36.941|44|5ycPJkB13GuLJr7aC3EbPCDHRddOxJQ1|3|J||#SMTPEmailScheduler#unHookedThreadDelivery#41#R|[null]
2025-11-08 00:58:37.619|49|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|23-1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64557"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:37.621|49|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|23-2|J||#UserServiceImpl#getById#24#|[{"userId":789}]
2025-11-08 00:58:37.621|49|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|23-3|T||#UserServiceImpl#getById#29|This should be remote service, will be with trace for user 789
2025-11-08 00:58:37.621|49|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|23-4|J||#UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025","driverLisenceId":"a number that you can't know"}]
2025-11-08 00:58:37.586|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"0:0:0:0:0:0:0:1:64551"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/query"},{"headers":{}},{"body":{"session_id":["xxx"],"offset":["0"],"size":["123"]}}]
2025-11-08 00:58:37.593|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|2|J||#ForStaticMethod#runStatic#15#|[{"userId":1762563517593}]
2025-11-08 00:58:37.593|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|3|J||#ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-08 00:58:37.594|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|4|J||#MedicService#query#28#|[{"sessionId":"xxx","page":{"size":123,"offset":0}}]
2025-11-08 00:58:37.595|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|5|J||#MedicService#query#29|[{"sessionId":"xxx"}]
2025-11-08 00:58:37.605|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|6|J||#MedicService#query#29R|[{"name":"ra***ly","id":456,"age":null,"driverLisenceId":"****************************"}]
2025-11-08 00:58:37.605|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|7|J||#MedicDAO#query#17#|[{"userId":456,"page":{"size":123,"offset":0}}]
2025-11-08 00:58:37.605|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|8|J||#MedicDAO#query#17#R|[[{"id":321,"deceases":"idk, maybe conding fever","timeCreated":111111111111111,"userId":123},{"id":654,"deceases":"idk, maybe conding fever","timeCreated":222222222222222,"userId":456},{"id":987,"deceases":"idk, maybe conding fever","timeCreated":333333333333333,"userId":789}]]
2025-11-08 00:58:37.606|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|9|J||#MedicService#callSelfInvocation#68#|[{"testString":"xxx"}]
2025-11-08 00:58:37.606|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|10|J||#MedicService#callSelfInvocation_protected#73#|[{"testString":"xxx"}]
2025-11-08 00:58:37.606|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|11|J||#MedicService#callSelfInvocation_friendly#78#|[{"testString":"xxx"}]
2025-11-08 00:58:37.606|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|12|J||#MedicService#callSelfInvocation_private#83#|[{"testString":"xxx"}]
2025-11-08 00:58:37.607|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|13|J||#MedicService#callSelfInvocation_final#88#|[{"testString":"xxx"}]
2025-11-08 00:58:37.607|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|14|J||#MedicService#callSelfInvocation_final#88#R|["1762563517607"]
2025-11-08 00:58:37.607|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|15|J||#MedicService#callSelfInvocation_private#83#R|["1762563517607"]
2025-11-08 00:58:37.607|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|16|J||#MedicService#callSelfInvocation_friendly#78#R|["1762563517607"]
2025-11-08 00:58:37.607|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|17|J||#MedicService#callSelfInvocation_protected#73#R|["1762563517607"]
2025-11-08 00:58:37.607|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|18|J||#MedicService#callSelfInvocation#68#R|["1762563517607"]
2025-11-08 00:58:37.607|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|19|J||#MedicService#lambda$0#38|[{"userId":123}]
2025-11-08 00:58:37.612|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|20|J||#MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-08 00:58:37.613|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|21|J||#MedicService#lambda$0#38|[{"userId":456}]
2025-11-08 00:58:37.617|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|22|J||#MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-08 00:58:37.618|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|23|J||#MedicService#lambda$0#38|[{"userId":789}]
2025-11-08 00:58:37.623|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|24|J||#MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-08 00:58:37.623|45|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|25|J||#MedicService#query#28#R|[[{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":321,"deceases":"idk, maybe conding fever","timeCreated":111111111111111,"userId":123}},{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":654,"deceases":"idk, maybe conding fever","timeCreated":222222222222222,"userId":456}},{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":987,"deceases":"idk, maybe conding fever","timeCreated":333333333333333,"userId":789}}]]
2025-11-08 00:58:37.601|46|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|5-1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64557"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_session_id"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:37.603|46|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|5-2|J||#UserServiceImpl#getBySessionId#43#|[{"sessionId":"xxx"}]
2025-11-08 00:58:37.603|46|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|5-3|J||#UserServiceImpl#getBySessionId#43#R|[{"name":"randome guy probably","id":456,"age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025","driverLisenceId":"a number that you can't know"}]
2025-11-08 00:58:37.609|47|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|19-1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64557"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:37.610|47|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|19-2|J||#UserServiceImpl#getById#24#|[{"userId":123}]
2025-11-08 00:58:37.610|47|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|19-3|T||#UserServiceImpl#getById#29|This should be remote service, will be with trace for user 123
2025-11-08 00:58:37.611|47|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|19-4|J||#UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025","driverLisenceId":"a number that you can't know"}]
2025-11-08 00:58:37.614|48|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|21-1|H||#LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64557"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:37.616|48|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|21-2|J||#UserServiceImpl#getById#24#|[{"userId":456}]
2025-11-08 00:58:37.616|48|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|21-3|T||#UserServiceImpl#getById#29|This should be remote service, will be with trace for user 456
2025-11-08 00:58:37.616|48|5aWTOWPWbT87QqzybMCJJ97RrI4IQiNq|21-4|J||#UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025","driverLisenceId":"a number that you can't know"}]
2025-11-08 00:58:38.394|52|1jM7vTsIib34J5uZMqXcpfDamcWtL2mh|1|J||#SMTPEmailScheduler#runMailRunnable#25#|[null]
2025-11-08 00:58:38.394|52|5ycPJkB13GuLJr7aC3EbPCDHRddOxJQ1|2-1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"tes***ail","verificationUrl":"http://localhost/unHookedThreadDelivery/1762563516939"}]
2025-11-08 00:58:38.395|52|5ycPJkB13GuLJr7aC3EbPCDHRddOxJQ1|2-2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/unHookedThreadDelivery/1762563516939'>link</a> or copy http://localhost/unHookedThreadDelivery/1762563516939 to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:38.395|52|5ycPJkB13GuLJr7aC3EbPCDHRddOxJQ1|2-3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/unHookedThreadDelivery/1762563516939'>link</a> or copy http://localhost/unHookedThreadDelivery/1762563516939 to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:38.395|52|5ycPJkB13GuLJr7aC3EbPCDHRddOxJQ1|2-4|J||#SMTPEmailScheduler#runMailRunnable#25#R|[null]
2025-11-08 00:58:48.406|52|7X9LwnYujj5BHeNvxgLeXQ1yoy9j0D3z|1|J||#SMTPEmailScheduler#runMailRunnable#25#|[null]
2025-11-08 00:58:48.409|52|7X9LwnYujj5BHeNvxgLeXQ1yoy9j0D3z|2|J||#SMTPEmailScheduler#runMailRunnable#25#R|[null]
2025-11-08 00:58:48.569|52|7X9LwnYujj5BHeNvxgLeXQ1yoy9j0D3z|3|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.571|52|114gYJgXJo4jbMVLnZ9VVWXLh7LkKCk8|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:48.571|52|114gYJgXJo4jbMVLnZ9VVWXLh7LkKCk8|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.571|52|114gYJgXJo4jbMVLnZ9VVWXLh7LkKCk8|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
